BOP,GL,PL,Visible,Coterie ID,Industry,Subindustry,Class Description For Selection,Class Description,Class Selection Differentiation,Customer Friendly Name,Word Associations,Contractor Only - Office or Shop,Office/LRO/Condo,PL Group,PL Class,WC Class,Notes,Class Code,SIC Code,NAICS Code,Prop. Rate No.,Liab. Class Group,Liab. Exp. Base,EQ,EQSL
Y,Y,Y,Y,10001,Professional Services,Contractor,3D Design  ,3D Design ,,,,,,Miscellaneous,Graphic Design,,,10370,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10002,Professional Services,Contractor,A/B Testing  ,A/B Testing ,,,,,,IT/Technology,Other technology services,,,10371,7379,541512,1,51,PAY,3,M
Y,Y,Y,Y,10003,Professional Services,Contractor,Academic Writing and Research  ,Academic Writing and Research ,,,,,,Consultants,Other consulting services,,,10258,7319,525990,2,51,PAY,3,M
Y,Y,Y,Y,10004,Professional Services,Contractor,Accounting  : Freelance (No Primary Office),Accounting ,: Freelance (No Primary Office),,,,,Miscellaneous,Accounting,,,10354,8721,541211,2,51,PAY,3,M
, ,,,10005,Professional Services,Offices,Accounting Services – CPAs  : Building Owner / Lessor,Accounting Services – CPAs ,: Building Owner / Lessor,,"Book Keeping, payroll, Bookkeeping",,Lessors Risk Only,Miscellaneous,Accounting,,,63631,8721,531120,1,1,LOI,3,M
Y, ,Y,Y,10006,Professional Services,Offices,Accounting Services – CPAs  : Office - Only Building Occupant,Accounting Services – CPAs ,: Office - Only Building Occupant,,"Book Keeping, payroll, Bookkeeping",,Office,Miscellaneous,Accounting,,,63631,8721,541211,1,1,LOI,3,M
Y, ,Y,Y,10007,Professional Services,Offices,Accounting Services – CPAs  : Shared Building Occupancy – Office,Accounting Services – CPAs ,: Shared Building Occupancy – Office,,"Book Keeping, payroll, Bookkeeping",,Condominium – Office,Miscellaneous,Accounting,,,63641,8721,541211,2,18,LOI,3,M
, ,,,10008,Professional Services,Offices,Accounting Services – CPAs  : Building Owner / Lessor - Office - Shared Building Occupancy,Accounting Services – CPAs ,: Building Owner / Lessor - Office - Shared Building Occupancy,,"Book Keeping, payroll, Bookkeeping",,Condominium – Office – Lessors Risk Only,Miscellaneous,Accounting,,,63641,8721,531120,2,18,LOI,3,M
, ,,,10009,Professional Services,Offices,Accounting Services - Non-CPA's : Building Owner / Lessor,Accounting Services – Except CPAs ,: Building Owner / Lessor,Accounting Services - Non-CPA's,"Book Keeping, payroll, Bookkeeping",,Lessors Risk Only,Miscellaneous,Accounting,,,63611,8721,531120,1,1,LOI,3,M
Y, ,Y,Y,10010,Professional Services,Offices,Accounting Services - Non-CPA's : Office - Only Building Occupant,Accounting Services – Except CPAs ,: Office - Only Building Occupant,Accounting Services - Non-CPA's,"Book Keeping, payroll, Bookkeeping",,Office,Miscellaneous,Accounting,,,63611,8721,541219,1,1,LOI,3,M
